FullName,Direction,Name,Suffix,SuffixDirection,MinAddress,MaxAddress
W 46TH PL,W,46TH,PL, ,228,3829
E 46TH ST,E,46TH,ST, ,1,1299
W 46TH ST,W,46TH,ST, ,100,5199
E 47TH DR,E,47TH,DR, ,1400,1540
E 47TH PL,E,47TH,PL, ,800,1399
W 47TH PL,W,47TH,PL, ,600,3599
E 47TH ST,E,47TH,ST, ,1,1399
W 47TH ST,W,47TH,ST, ,1,5199
E 48TH PL,E,48TH,PL, ,400,499
W 48TH PL,W,48TH,PL, ,246,3599
E 48TH ST,E,48TH,ST, ,1,1499
W 48TH ST,W,48TH,ST, ,600,5199
E 49TH DR,E,49TH,DR, ,1600,1699
W 49TH PL,W,49TH,PL, ,700,3199
E 49TH ST,E,49TH,ST, ,1,1499
W 49TH ST,W,49TH,ST, ,600,5199
E 50TH PL,E,50TH,PL, ,400,1699
W 50TH PL,W,50TH,PL, ,700,3799
E 50TH ST,E,50TH,ST, ,45,1699
W 50TH ST,W,50TH,ST, ,246,5199
W 51ST PL,W,51ST,PL, ,300,7155
E 51ST ST,E,51ST,ST, ,1,799
W 51ST ST,W,51ST,ST, ,1,6999
E 52ND PL,E,52ND,PL, ,1500,1517
W 52ND PL,W,52ND,PL, ,300,4199
E 52ND ST,E,52ND,ST, ,100,1599
W 52ND ST,W,52ND,ST, ,234,7199
E 53RD DR,E,53RD,DR, ,1749,1799
W 53RD PL,W,53RD,PL, ,800,5399
E 53RD ST,E,53RD,ST, ,1,1748
W 53RD ST,W,53RD,ST, ,100,7199
E 54TH PL,E,54TH,PL, ,342,1629
W 54TH PL,W,54TH,PL, ,330,5899
E 54TH ST,E,54TH,ST, ,1,1799
W 54TH ST,W,54TH,ST, ,28,7199
E 55TH DR,E,55TH,DR, ,732,1899
E 55TH PL,E,55TH,PL, ,200,1499
W 55TH PL,W,55TH,PL, ,3600,3999
E 55TH ST,E,55TH,ST, ,800,1799
W 55TH ST,W,55TH,ST, ,2400,6359
W 56TH PL,W,56TH,PL, ,332,4199
E 56TH ST,E,56TH,ST, ,1,1799
W 56TH ST,W,56TH,ST, ,400,7198
E 57TH DR,E,57TH,DR, ,700,1770
W 57TH PL,W,57TH,PL, ,1,5709
E 57TH ST,E,57TH,ST, ,1,1599
W 57TH ST,W,57TH,ST, ,1,7161
W 58TH PL,W,58TH,PL, ,500,4199
E 58TH ST,E,58TH,ST, ,1,1435
W 58TH ST,W,58TH,ST, ,234,7199
W 59TH PL,W,59TH,PL, ,242,3999
E 59TH ST,E,59TH,ST, ,1,1599
W 59TH ST,W,59TH,ST, ,1,7199
W 60TH PL,W,60TH,PL, ,244,7199
E 60TH ST,E,60TH,ST, ,1,1599
W 60TH ST,W,60TH,ST, ,1,7199
E 61ST PL,E,61ST,PL, ,800,1499
W 61ST PL,W,61ST,PL, ,244,7199
E 61ST ST,E,61ST,ST, ,1,1599
W 61ST ST,W,61ST,ST, ,1,7199
E 62ND PL,E,62ND,PL, ,1400,1435
W 62ND PL,W,62ND,PL, ,3200,7099
E 62ND ST,E,62ND,ST, ,400,1599
W 62ND ST,W,62ND,ST, ,134,7199
W 63RD PKWY,W,63RD,PKWY, ,800,999
E 63RD PL,E,63RD,PL, ,834,1499
W 63RD PL,W,63RD,PL, ,432,7199
E 63RD ST,E,63RD,ST, ,1,1599
W 63RD ST,W,63RD,ST, ,1,7199
E 64TH PL,E,64TH,PL, ,830,899
W 64TH PL,W,64TH,PL, ,3200,7199
E 64TH ST,E,64TH,ST, ,400,1599
W 64TH ST,W,64TH,ST, ,1,7199
E 65TH PL,E,65TH,PL, ,1400,1599
W 65TH PL,W,65TH,PL, ,400,4599
E 65TH ST,E,65TH,ST, ,400,1599
W 65TH ST,W,65TH,ST, ,1,7198
E 66TH PL,E,66TH,PL, ,1,1599
W 66TH PL,W,66TH,PL, ,400,4599
E 66TH ST,E,66TH,ST, ,1,499
W 66TH ST,W,66TH,ST, ,100,4799
E 67TH PL,E,67TH,PL, ,1400,1599
W 67TH PL,W,67TH,PL, ,2000,3999
E 67TH ST,E,67TH,ST, ,500,2399
W 68TH PL,W,68TH,PL, ,2000,3999
E 68TH ST,E,68TH,ST, ,1,2399
W 68TH ST,W,68TH,ST, ,43,4531
E 69TH PL,E,69TH,PL, ,200,1599
W 69TH PL,W,69TH,PL, ,2000,4149
E 69TH ST,E,69TH,ST, ,1,2399
W 69TH ST,W,69TH,ST, ,1,4429
E 70TH PL,E,70TH,PL, ,342,2399
W 70TH PL,W,70TH,PL, ,300,3999
E 70TH ST,E,70TH,ST, ,1,2399
W 70TH ST,W,70TH,ST, ,42,4150
E 71ST PL,E,71ST,PL, ,1200,1999
W 71ST PL,W,71ST,PL, ,1200,3599
E 71ST ST,E,71ST,ST, ,1,2599
W 71ST ST,W,71ST,ST, ,1,4099
E 72ND PL,E,72ND,PL, ,1200,2599
W 72ND PL,W,72ND,PL, ,1200,4359
E 72ND ST,E,72ND,ST, ,1,2599
W 72ND ST,W,72ND,ST, ,43,4799
E 73RD PL,E,73RD,PL, ,1500,2549
W 73RD PL,W,73RD,PL, ,1200,3599
E 73RD ST,E,73RD,ST, ,1,2699
W 73RD ST,W,73RD,ST, ,42,3828
E 74TH PL,E,74TH,PL, ,1500,2641
W 74TH PL,W,74TH,PL, ,1200,2631
E 74TH ST,E,74TH,ST, ,1,2799
W 74TH ST,W,74TH,ST, ,43,4759
E 75TH PL,E,75TH,PL, ,1030,2739
W 75TH PL,W,75TH,PL, ,1600,3999
E 75TH ST,E,75TH,ST, ,1,2799
W 75TH ST,W,75TH,ST, ,1,3599
E 76TH PL,E,76TH,PL, ,1101,2841
W 76TH PL,W,76TH,PL, ,2130,3999
E 76TH ST,E,76TH,ST, ,1,2899
W 76TH ST,W,76TH,ST, ,1,4759
W 76TH ST FORD CITY ER,W,76TH ST FORD CITY,ER, ,4000,4099
E 77TH PL,E,77TH,PL, ,2800,2841
W 77TH PL,W,77TH,PL, ,35,4599
E 77TH ST,E,77TH,ST, ,1,3131
W 77TH ST,W,77TH,ST, ,39,4799
E 78TH PL,E,78TH,PL, ,2900,2950
W 78TH PL,W,78TH,PL, ,1,4162
E 78TH ST,E,78TH,ST, ,1,3099
W 78TH ST,W,78TH,ST, ,33,4799
E 79TH PL,E,79TH,PL, ,1100,3099
W 79TH PL,W,79TH,PL, ,400,4680
E 79TH ST,E,79TH,ST, ,1,3399
W 79TH ST,W,79TH,ST, ,1,4799
E 80TH PL,E,80TH,PL, ,2932,3027
W 80TH PL,W,80TH,PL, ,600,4199
E 80TH ST,E,80TH,ST, ,1,3199
W 80TH ST,W,80TH,ST, ,32,4440
E 81ST PL,E,81ST,PL, ,1100,2989
W 81ST PL,W,81ST,PL, ,500,4459
E 81ST ST,E,81ST,ST, ,1,3199
W 81ST ST,W,81ST,ST, ,32,4799
E 82ND PL,E,82ND,PL, ,1102,2989
W 82ND PL,W,82ND,PL, ,448,4745
E 82ND ST,E,82ND,ST, ,1,3199
W 82ND ST,W,82ND,ST, ,32,4732
E 83RD PL,E,83RD,PL, ,600,3159
W 83RD PL,W,83RD,PL, ,500,4721
E 83RD ST,E,83RD,ST, ,1,3399
W 83RD ST,W,83RD,ST, ,1,4799
E 84TH PL,E,84TH,PL, ,700,1799
W 84TH PL,W,84TH,PL, ,2614,4799
E 84TH ST,E,84TH,ST, ,1,3399
W 84TH ST,W,84TH,ST, ,32,4499
E 85TH PL,E,85TH,PL, ,1200,1799
W 85TH PL,W,85TH,PL, ,2607,3999
E 85TH ST,E,85TH,ST, ,1,3399
W 85TH ST,W,85TH,ST, ,30,4799
E 86TH PL,E,86TH,PL, ,520,1799
W 86TH PL,W,86TH,PL, ,430,3929
E 86TH ST,E,86TH,ST, ,1,3399
W 86TH ST,W,86TH,ST, ,500,4799
E 87TH PL,E,87TH,PL, ,300,1755
E 87TH ST,E,87TH,ST, ,1,3899
W 87TH ST N,W,87TH,ST,N,412,818
W 87TH ST S,W,87TH,ST,S,431,827
W 87TH ST,W,87TH,ST, ,1,4798
E 88TH PL,E,88TH,PL, ,342,1335
E 88TH ST,E,88TH,ST, ,1,3330
W 88TH ST,W,88TH,ST, ,251,1927
E 89TH PL,E,89TH,PL, ,1,1399
W 89TH PL,W,89TH,PL, ,1800,1899
E 89TH ST,E,89TH,ST, ,1,3431
W 89TH ST,W,89TH,ST, ,200,2199
E 8TH ST,E,8TH,ST, ,1,99
E 90TH PL,E,90TH,PL, ,200,1499
W 90TH PL,W,90TH,PL, ,206,1799
E 90TH ST,E,90TH,ST, ,1,3432
W 90TH ST,W,90TH,ST, ,400,2399
E 91ST PL,E,91ST,PL, ,400,1799
W 91ST PL,W,91ST,PL, ,100,1833
E 91ST ST,E,91ST,ST, ,1,3399
